,month,day_of_month,day_of_week,neighborhood,hour,normalized_imbalance,hour_group
330,7,2,5,Chelsea and Clinton,14,0.0254620123203,10-16
331,7,2,5,Chelsea and Clinton,15,0.0102669404517,10-16
332,7,2,5,Chelsea and Clinton,16,-0.0201232032854,10-16
333,7,2,5,Chelsea and Clinton,17,0.0123203285421,17
334,7,2,5,Chelsea and Clinton,18,-0.0217659137577,18
335,7,2,5,Chelsea and Clinton,19,-0.0262833675565,19
336,7,2,5,Chelsea and Clinton,20,-0.0188911704312,20
337,7,2,5,Chelsea and Clinton,21,-0.0205338809035,21
338,7,2,5,Chelsea and Clinton,22,-0.00862422997947,night
339,7,2,5,Chelsea and Clinton,23,0.00287474332649,night
340,7,2,5,Bushwick and Williamsburg,0,-0.00496524329692,night
341,7,2,5,Bushwick and Williamsburg,1,0.00993048659384,night
342,7,2,5,Bushwick and Williamsburg,2,-0.00496524329692,night
343,7,2,5,Bushwick and Williamsburg,3,-0.00496524329692,night
344,7,2,5,Bushwick and Williamsburg,4,-0.00198609731877,night
345,7,2,5,Bushwick and Williamsburg,6,0.00397219463754,7
346,7,2,5,Bushwick and Williamsburg,7,-0.00297914597815,7
347,7,2,5,Bushwick and Williamsburg,8,-0.00595829195631,8
348,7,2,5,Bushwick and Williamsburg,9,0.00297914597815,9
349,7,2,5,Bushwick and Williamsburg,10,0.0168818272095,10-16
350,7,2,5,Bushwick and Williamsburg,11,-0.00893743793446,10-16
351,7,2,5,Bushwick and Williamsburg,12,-0.0139026812314,10-16
352,7,2,5,Bushwick and Williamsburg,13,-0.0139026812314,10-16
353,7,2,5,Bushwick and Williamsburg,14,-0.0139026812314,10-16
354,7,2,5,Bushwick and Williamsburg,15,0.0347567030785,10-16
355,7,2,5,Bushwick and Williamsburg,16,0.0446871896723,10-16
356,7,2,5,Bushwick and Williamsburg,17,0.00695134061569,17
357,7,2,5,Bushwick and Williamsburg,18,0.0228401191658,18
358,7,2,5,Bushwick and Williamsburg,19,-0.0188679245283,19
359,7,2,5,Bushwick and Williamsburg,20,0.00297914597815,20
360,7,2,5,Bushwick and Williamsburg,21,-0.00595829195631,21
361,7,2,5,Bushwick and Williamsburg,22,-0.00993048659384,night
362,7,2,5,Bushwick and Williamsburg,23,0.000993048659384,night
363,7,2,5,Bushwick and Williamsburg,5,-0.00397219463754,night
364,7,2,5,Upper West Side,0,-0.00350569675723,night
365,7,2,5,Upper West Side,1,-0.00350569675723,night
366,7,2,5,Upper West Side,2,-0.00262927256792,night
367,7,2,5,Upper West Side,3,0.000876424189308,night
368,7,2,5,Upper West Side,5,0.00350569675723,night
369,7,2,5,Upper West Side,6,0.00525854513585,7
370,7,2,5,Upper West Side,7,0.011393514461,7
371,7,2,5,Upper West Side,8,0.0122699386503,8
372,7,2,5,Upper West Side,9,0.0192813321648,9
373,7,2,5,Upper West Side,10,0.0490797546012,10-16
374,7,2,5,Upper West Side,11,0.045574057844,10-16
375,7,2,5,Upper West Side,12,0.0324276950044,10-16
376,7,2,5,Upper West Side,13,-0.0254163014899,10-16
377,7,2,5,Upper West Side,14,0.0201577563541,10-16
378,7,2,5,Upper West Side,15,-0.0297984224365,10-16
379,7,2,5,Upper West Side,16,0.000876424189308,10-16
380,7,2,5,Upper West Side,17,0.0157756354075,17
381,7,2,5,Upper West Side,18,0.00525854513585,18
382,7,2,5,Upper West Side,19,-0.0324276950044,19
383,7,2,5,Upper West Side,20,0.0166520595968,20
384,7,2,5,Upper West Side,21,-0.011393514461,21
